#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -134.427    -134.427           0
           2    -132.863    -133.645    0.552937
           3    -133.856    -133.715    0.373069
           4    -133.987    -133.783    0.285911
           5    -133.223    -133.671    0.249708
           6    -133.457    -133.635    0.210626
           7    -132.863    -133.525    0.207444
           8    -134.327    -133.625    0.204312
           9    -132.098    -133.456     0.24206
          10    -133.468    -133.457    0.217858
          11    -133.908    -133.498    0.201882
          12     -134.16    -133.553    0.192445
          13    -133.013    -133.512    0.182067
          14    -133.349      -133.5    0.169434
          15    -133.234    -133.482    0.159066
          16    -133.062    -133.456    0.151277
          17    -135.068    -133.551    0.169518
          18    -134.405    -133.598    0.166613
          19    -133.531    -133.595    0.157881
          20    -134.317    -133.631    0.154059
          21    -133.619     -133.63    0.146724
          22    -132.493    -133.579    0.148882
          23    -134.461    -133.617    0.147268
          24    -135.204    -133.683    0.155269
          25    -133.631    -133.681    0.149072
          26     -133.25    -133.664    0.144255
          27    -133.462    -133.657    0.139107
          28    -133.172     -133.64    0.135211
          29    -134.313    -133.663    0.132527
          30    -133.202    -133.647    0.128997
          31    -132.994    -133.626    0.126547
          32    -133.642    -133.627    0.122594
          33    -133.451    -133.622    0.118994
          34    -134.981    -133.662    0.122029
          35     -133.68    -133.662    0.118543
          36    -134.658     -133.69    0.118436
          37    -133.216    -133.677    0.115924
          38    -134.329    -133.694    0.114138
          39    -133.776    -133.696    0.111231
          40    -134.481    -133.716    0.110167
          41    -134.761    -133.741    0.110392
          42    -133.452    -133.734    0.107979
          43    -134.232    -133.746    0.106085
          44    -134.628    -133.766     0.10555
          45    -134.348    -133.779    0.103994
          46    -132.294    -133.747    0.106624
          47    -132.888    -133.728     0.10591
          48    -134.217    -133.739    0.104192
          49    -135.444    -133.773     0.10772
          50    -133.257    -133.763     0.10606
          51     -134.54    -133.778    0.105069
          52    -132.394    -133.752    0.106367
          53     -134.09    -133.758    0.104551
          54      -134.3    -133.768    0.103095
          55    -132.946    -133.753    0.102298
          56     -133.24    -133.744    0.100881
          57    -134.494    -133.757   0.0999661
          58    -135.009    -133.779    0.100546
          59    -135.425    -133.807     0.10264
          60     -134.23    -133.814    0.101171
          61     -133.66    -133.811   0.0995438
          62    -133.316    -133.803   0.0982578
          63    -133.888    -133.805   0.0967075
          64    -134.187    -133.811   0.0953806
          65     -133.97    -133.813   0.0939446
          66    -133.487    -133.808   0.0926513
          67    -134.334    -133.816   0.0916006
          68    -133.466    -133.811   0.0903982
          69    -133.592    -133.808   0.0891436
          70    -133.438    -133.802   0.0880261
          71      -132.8    -133.788   0.0879109
          72    -132.149    -133.765    0.089588
          73    -134.004    -133.769   0.0884202
          74    -134.223    -133.775    0.087438
          75    -133.629    -133.773   0.0862937
          76    -133.555     -133.77   0.0852056
          77    -131.918    -133.746   0.0874288
          78    -132.734    -133.733   0.0872652
          79    -134.204    -133.739   0.0863639
          80    -133.859     -133.74   0.0852974
          81    -132.952    -133.731   0.0847978
          82    -134.313    -133.738   0.0840606
          83     -135.07    -133.754   0.0845666
          84    -134.731    -133.765    0.084356
          85    -133.656    -133.764   0.0833735
          86    -134.135    -133.769   0.0825155
          87    -133.476    -133.765   0.0816353
          88    -133.794    -133.765   0.0807083
          89    -133.836    -133.766   0.0798054
          90    -135.087    -133.781   0.0802575
          91    -132.199    -133.764   0.0812357
          92     -133.77    -133.764   0.0803528
          93    -134.539    -133.772   0.0799199
          94    -132.749    -133.761   0.0798065
          95    -134.045    -133.764   0.0790221
          96     -133.87    -133.765   0.0782068
          97    -133.439    -133.762   0.0774728
          98    -134.687    -133.771   0.0772556
          99    -133.228    -133.766   0.0766698
         100    -133.205     -133.76    0.076108
         101    -133.306    -133.756   0.0754874
         102    -133.967    -133.758   0.0747756
         103    -133.713    -133.757   0.0740509
         104    -134.704    -133.766   0.0738963
         105    -134.133     -133.77    0.073275
         106    -134.772    -133.779   0.0731916
         107    -133.058    -133.773   0.0728174
         108    -132.238    -133.758   0.0735161
         109     -134.67    -133.767   0.0733161
         110    -134.455    -133.773   0.0729161
         111    -133.574    -133.771   0.0722811
         112     -135.25    -133.784   0.0728322
         113    -133.138    -133.779   0.0724121
         114    -133.642    -133.778   0.0717868
         115    -133.116    -133.772    0.071393
         116    -134.026    -133.774   0.0708111
         117    -133.526    -133.772   0.0702377
         118    -132.876    -133.764   0.0700516
         119    -134.576    -133.771   0.0697941
         120    -134.617    -133.778    0.069568
         121    -133.425    -133.775   0.0690542
         122    -133.526    -133.773   0.0685183
         123    -133.386     -133.77   0.0680334
         124    -133.819     -133.77   0.0674859
         125    -135.829    -133.787   0.0689261
         126     -134.76    -133.795   0.0688107
         127    -133.289    -133.791   0.0683838
         128     -133.65     -133.79   0.0678583
         129    -134.289    -133.793   0.0674425
         130    -133.657    -133.792   0.0669319
         131    -132.955    -133.786   0.0667257
         132    -133.077    -133.781   0.0664361
         133    -133.388    -133.778   0.0660022
         134    -133.078    -133.772   0.0657157
         135    -133.489     -133.77   0.0652625
         136    -132.651    -133.762   0.0652997
         137    -133.444     -133.76   0.0648644
         138    -132.965    -133.754   0.0646497
         139    -132.144    -133.742   0.0652141
         140     -132.73    -133.735   0.0651476
         141    -132.403    -133.726   0.0653674
         142    -134.248    -133.729   0.0650106
         143    -134.413    -133.734   0.0647314
         144    -134.825    -133.742    0.064724
         145    -133.224    -133.738   0.0643759
         146    -133.656    -133.738   0.0639374
         147    -133.647    -133.737   0.0635055
         148     -132.59    -133.729   0.0635471
         149    -134.021    -133.731   0.0631509
         150    -132.963    -133.726   0.0629373
         151    -134.797    -133.733    0.062919
         152    -133.939    -133.735   0.0625197
         153    -133.753    -133.735   0.0621112
         154    -133.158    -133.731   0.0618206
         155    -133.605     -133.73   0.0614272
         156    -134.144    -133.733   0.0610907
