# DISTANCE:     AVE_GOFR:        ERROR:
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524           0           0
    0.899591  6.5992e-05 1.26264e-05
    0.922657  0.00285741 0.000103582
    0.945724   0.0399802 0.000395678
     0.96879    0.248983 0.000898878
    0.991856    0.842857  0.00148645
     1.01492     1.83899  0.00258537
     1.03799     2.94808  0.00318053
     1.06106     3.72424  0.00338866
     1.08412     3.93316  0.00353163
     1.10719     3.62554  0.00342675
     1.13026      2.9703  0.00329573
     1.15332     2.20746  0.00273562
     1.17639      1.5101  0.00219543
     1.19945    0.956625  0.00181786
     1.22252    0.564682  0.00141873
     1.24559    0.310358   0.0011035
     1.26865    0.159966 0.000852115
     1.29172    0.080579 0.000657898
     1.31479   0.0452214 0.000517236
     1.33785   0.0388924 0.000481027
     1.36092   0.0546238 0.000524896
     1.38399   0.0947714 0.000704203
     1.40705    0.162521 0.000846173
     1.43012    0.261653   0.0009382
     1.45319    0.392333 0.000947493
     1.47625    0.539375  0.00105006
     1.49932     0.68218  0.00133537
     1.52238    0.784666  0.00151482
     1.54545    0.827768  0.00164961
     1.56852    0.795689  0.00166383
     1.59158    0.694872  0.00126378
     1.61465    0.557445  0.00108758
     1.63772    0.409409 0.000831673
     1.66078    0.282087 0.000825172
     1.68385     0.19982 0.000856112
     1.70692      0.1781  0.00092474
     1.72998    0.235618  0.00109612
     1.75305    0.397811  0.00130302
     1.77612    0.678881  0.00136756
     1.79918       1.071  0.00143434
     1.82225     1.53015  0.00150948
     1.84531     1.96531  0.00172731
     1.86838     2.27445   0.0022857
     1.89145     2.37401  0.00252593
     1.91451     2.24322  0.00239104
     1.93758     1.92432  0.00200245
     1.96065     1.50449  0.00148202
     1.98371     1.07942  0.00124618
     2.00678    0.732265  0.00121858
     2.02985    0.504961  0.00127409
     2.05291    0.408134  0.00122448
     2.07598    0.430445  0.00113433
     2.09905     0.53757 0.000905308
     2.12211    0.682301  0.00083298
     2.14518    0.816541 0.000990833
     2.16824    0.893445  0.00111137
     2.19131    0.894925  0.00110825
     2.21438    0.824335  0.00106351
     2.23744    0.713733 0.000952201
     2.26051    0.601429 0.000948536
     2.28358    0.531195  0.00120332
     2.30664    0.532596  0.00135717
