#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.21742     1.21742           0
           2     1.19777      1.2076  0.00694455
           3     1.19712      1.2041  0.00543737
           4      1.2054     1.20443  0.00408766
           5     1.21243     1.20603  0.00356952
           6     1.19214     1.20371  0.00364857
           7     1.21636     1.20552  0.00354673
           8     1.20728     1.20574  0.00311017
           9     1.19877     1.20496  0.00285936
          10     1.22308     1.20678  0.00309463
          11     1.19048      1.2053  0.00314795
          12     1.21978      1.2065  0.00310835
          13     1.20218     1.20617  0.00288701
          14      1.2002     1.20574  0.00271206
          15     1.21556      1.2064  0.00260908
          16     1.20864     1.20654  0.00244977
          17     1.20238     1.20629  0.00231784
          18     1.20545     1.20625  0.00218954
          19     1.21179     1.20654  0.00209368
          20      1.2054     1.20648  0.00198976
          21     1.21899     1.20708  0.00198214
          22     1.18904     1.20626  0.00205454
          23     1.22951     1.20727  0.00219994
          24     1.20039     1.20698  0.00212685
          25     1.20156     1.20677  0.00205282
          26     1.22337      1.2074  0.00207082
          27     1.19776     1.20705  0.00202466
          28     1.19821     1.20673  0.00197682
          29      1.2199     1.20719  0.00196011
          30     1.19923     1.20692  0.00191263
          31     1.20569     1.20688  0.00185134
          32     1.21083       1.207  0.00179759
          33      1.2046     1.20693  0.00174459
          34     1.20316     1.20682   0.0016968
          35     1.20721     1.20683  0.00164835
          36     1.20329     1.20673   0.0016055
          37     1.20719     1.20674  0.00156215
          38     1.20283     1.20664  0.00152443
          39     1.21079     1.20675  0.00148904
          40     1.20983     1.20683   0.0014538
          41     1.20388     1.20675  0.00142012
          42     1.21021     1.20684  0.00138869
          43     1.21122     1.20694  0.00136014
          44      1.2014     1.20681  0.00133504
          45       1.207     1.20682  0.00130538
          46     1.20811     1.20684   0.0012773
          47      1.2054     1.20681  0.00125049
          48     1.20667     1.20681  0.00122445
          49     1.20267     1.20673  0.00120237
          50     1.20933     1.20678  0.00117945
          51     1.20541     1.20675  0.00115663
          52     1.19627     1.20655  0.00115183
          53     1.22604     1.20692  0.00118734
          54      1.1933     1.20667  0.00119182
          55      1.2166     1.20685  0.00118375
          56     1.20998      1.2069  0.00116393
          57     1.20093      1.2068  0.00114823
          58     1.21268      1.2069  0.00113291
          59     1.21015     1.20695  0.00111504
          60     1.20572     1.20693  0.00109664
          61     1.20177     1.20685  0.00108193
          62     1.20755     1.20686  0.00106454
          63     1.21329     1.20696  0.00105252
          64     1.20486     1.20693  0.00103659
          65     1.20582     1.20691  0.00102078
          66     1.19938      1.2068  0.00101168
          67     1.21627     1.20694  0.00100642
          68     1.19871     1.20682 0.000998875
          69     1.20991     1.20686   0.0009854
          70     1.21228     1.20694 0.000974363
          71     1.19726      1.2068 0.000970125
          72     1.20548     1.20679 0.000956825
          73     1.21587     1.20691 0.000951778
          74     1.19358     1.20673 0.000955819
          75     1.21618     1.20686 0.000951337
          76      1.1922     1.20666 0.000958168
          77     1.22062     1.20684 0.000962709
          78     1.19334     1.20667 0.000965804
          79     1.21449     1.20677 0.000958637
          80     1.19795     1.20666 0.000952976
          81     1.20374     1.20662 0.000941892
          82     1.21056     1.20667 0.000931626
          83     1.20812     1.20669 0.000920565
          84     1.20696     1.20669 0.000909611
          85      1.2106     1.20674 0.000900074
          86     1.20661     1.20674 0.000889609
          87     1.20541     1.20672 0.000879515
          88     1.19889     1.20663 0.000874015
          89     1.20573     1.20662 0.000864253
          90     1.21285     1.20669  0.00085742
          91     1.20198     1.20664 0.000849559
          92     1.21114     1.20669 0.000841731
          93     1.21046     1.20673 0.000833657
          94     1.20449     1.20671  0.00082513
          95     1.20743     1.20671 0.000816479
          96     1.21656     1.20682 0.000814386
          97     1.20313     1.20678 0.000806876
          98     1.20111     1.20672 0.000800712
          99     1.20184     1.20667 0.000794141
         100     1.21408     1.20674 0.000789649
         101     1.20315     1.20671 0.000782633
         102     1.20224     1.20666 0.000776187
         103     1.21392     1.20674 0.000771838
         104     1.20006     1.20667 0.000767079
         105     1.20136     1.20662  0.00076144
         106     1.21375     1.20669 0.000757224
         107     1.21422     1.20676  0.00075341
         108     1.20683     1.20676 0.000746434
         109     1.21149      1.2068  0.00074085
         110     1.21159     1.20685  0.00073539
         111     1.19901     1.20678 0.000732141
