#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66651    -6.66651           0
           2    -6.64499    -6.65575  0.00760973
           3    -6.64476    -6.65209  0.00588883
           4    -6.65336     -6.6524  0.00442528
           5    -6.66119    -6.65416  0.00387365
           6    -6.63996     -6.6518  0.00388415
           7    -6.66422    -6.65357  0.00371254
           8    -6.65547    -6.65381  0.00325606
           9    -6.64691    -6.65304  0.00298322
          10    -6.67025    -6.65476  0.00314211
          11    -6.63793    -6.65323  0.00320755
          12    -6.66687    -6.65437  0.00313519
          13    -6.64889    -6.65395  0.00292219
          14    -6.64774     -6.6535  0.00274694
          15    -6.66353    -6.65417  0.00264383
          16    -6.65695    -6.65435  0.00248427
          17    -6.64977    -6.65408  0.00235264
          18    -6.65214    -6.65397  0.00222439
          19    -6.65919    -6.65424   0.0021242
          20     -6.6528    -6.65417  0.00201922
          21    -6.66679    -6.65477  0.00201054
          22    -6.63562     -6.6539  0.00209924
          23    -6.67674    -6.65489  0.00223056
          24     -6.6481    -6.65461  0.00215551
          25    -6.64844    -6.65436  0.00208339
          26    -6.67202    -6.65504  0.00211105
          27    -6.64501    -6.65467  0.00206533
          28     -6.6453    -6.65434  0.00201852
          29    -6.66879    -6.65484  0.00200951
          30    -6.64564    -6.65453  0.00196575
          31     -6.6528    -6.65447  0.00190313
          32    -6.65825    -6.65459  0.00184731
          33    -6.65199    -6.65451  0.00179302
          34    -6.65216    -6.65444  0.00174162
          35    -6.65533    -6.65447  0.00169204
          36    -6.65126    -6.65438  0.00164738
          37    -6.65437    -6.65438  0.00160286
          38    -6.65222    -6.65432  0.00156168
          39    -6.65885    -6.65444  0.00152594
          40     -6.6578    -6.65452   0.0014901
          41    -6.65201    -6.65446  0.00145502
          42    -6.65755    -6.65453  0.00142224
          43    -6.65937    -6.65465   0.0013936
          44    -6.65156    -6.65458  0.00136369
          45    -6.65556     -6.6546  0.00133356
          46    -6.65585    -6.65463  0.00130484
          47    -6.65353     -6.6546  0.00127729
          48     -6.6537    -6.65458  0.00125082
          49    -6.65148    -6.65452  0.00122689
          50    -6.65591    -6.65455  0.00120267
          51    -6.65372    -6.65453   0.0011792
          52      -6.644    -6.65433  0.00117377
          53    -6.67456    -6.65471   0.0012121
          54    -6.64157    -6.65447  0.00121384
          55    -6.66465    -6.65465   0.0012058
          56    -6.65786    -6.65471  0.00118563
          57    -6.64838     -6.6546  0.00117002
          58    -6.66084    -6.65471  0.00115479
          59    -6.65792    -6.65476   0.0011365
          60     -6.6529    -6.65473  0.00111798
          61    -6.64859    -6.65463  0.00110418
          62    -6.65485    -6.65463  0.00108638
          63    -6.66025    -6.65472  0.00107279
          64    -6.65334     -6.6547  0.00105624
          65    -6.65467     -6.6547  0.00103999
          66    -6.64615    -6.65457  0.00103228
          67    -6.66447    -6.65472   0.0010274
          68    -6.64723    -6.65461  0.00101817
          69    -6.65787    -6.65466  0.00100451
          70    -6.65965    -6.65473  0.00099269
          71    -6.64564     -6.6546 0.000986932
          72    -6.65422    -6.65459 0.000973238
          73      -6.664    -6.65472 0.000968396
          74    -6.63985    -6.65452 0.000975951
          75    -6.66418    -6.65465 0.000971393
          76    -6.63997    -6.65446 0.000977636
