#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.744711    0.744711           0
           2    0.753279    0.748995  0.00302935
           3    0.753575    0.750521  0.00237328
           4    0.752558    0.751031  0.00183378
           5    0.750437    0.750912  0.00147087
           6    0.750027    0.750764   0.0012331
           7     0.75592    0.751501  0.00125783
           8    0.749716    0.751278   0.0011202
           9    0.754779    0.751667  0.00106112
          10    0.747317    0.751232  0.00104033
