#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -178.778    -178.778           0
           2    -178.217    -178.498    0.198518
           3    -178.211    -178.402    0.153562
           4    -178.435    -178.411    0.115396
           5     -178.64    -178.456     0.10102
           6    -178.087    -178.395    0.101225
           7    -178.718    -178.441   0.0966954
           8     -178.49    -178.447   0.0848066
           9    -178.268    -178.427   0.0776904
          10    -178.874    -178.472   0.0817474
          11    -178.034    -178.432   0.0834602
          12    -178.786    -178.461   0.0815464
          13    -178.318     -178.45   0.0760176
          14    -178.289    -178.439   0.0714604
          15      -178.7    -178.456   0.0687789
          16    -178.529    -178.461   0.0646301
          17    -178.342    -178.454   0.0612079
          18    -178.402    -178.451   0.0578738
          19    -178.586    -178.458   0.0552643
          20     -178.42    -178.456   0.0525336
          21    -178.784    -178.472   0.0523065
          22    -177.973    -178.449   0.0546289
          23    -179.043    -178.475   0.0580289
          24    -178.298    -178.468   0.0560753
          25    -178.306    -178.461   0.0542022
          26    -178.921    -178.479   0.0549308
          27    -178.217    -178.469   0.0537426
          28    -178.225     -178.46   0.0525262
          29    -178.837    -178.473   0.0522998
          30    -178.233    -178.465    0.051166
          31     -178.42    -178.464   0.0495365
          32    -178.562    -178.467   0.0480831
          33    -178.399    -178.465     0.04667
          34    -178.405    -178.463   0.0453304
          35    -178.487    -178.464   0.0440402
          36    -178.381    -178.462   0.0428772
          37    -178.461    -178.461   0.0417184
          38    -178.407     -178.46    0.040645
          39    -178.578    -178.463   0.0397154
          40    -178.551    -178.465   0.0387829
          41      -178.4    -178.464   0.0378693
          42    -178.544    -178.466   0.0370157
          43    -178.592    -178.469   0.0362708
          44    -178.391    -178.467   0.0354894
          45    -178.493    -178.467   0.0347056
          46      -178.5    -178.468   0.0339583
          47     -178.44    -178.467    0.033241
          48    -178.443    -178.467   0.0325523
          49    -178.387    -178.465   0.0319285
          50      -178.5    -178.466   0.0312976
          51    -178.445    -178.466   0.0306866
          52    -178.192     -178.46   0.0305448
          53    -178.987     -178.47   0.0315438
          54    -178.129    -178.464   0.0315862
          55    -178.729    -178.469   0.0313772
          56    -178.552     -178.47   0.0308523
          57    -178.305    -178.467   0.0304463
          58     -178.63     -178.47   0.0300504
          59    -178.554    -178.472   0.0295744
          60    -178.423    -178.471   0.0290928
          61     -178.31    -178.468   0.0287348
          62    -178.473    -178.468   0.0282715
          63    -178.614    -178.471   0.0279166
          64    -178.435     -178.47   0.0274859
          65     -178.47     -178.47    0.027063
          66    -178.247    -178.467   0.0268639
          67    -178.724     -178.47   0.0267372
